model,fold,r2,rmse,mae
linear,1,0.791118830993871,0.08059047735038398,0.060702422668826375
linear,2,0.5883209007623498,0.11987815314224451,0.07986765611446742
linear,3,0.5656525994637918,0.11482076402849446,0.06552006778446151
linear,4,0.68238594908523,0.10661253527645659,0.07212987146155239
linear,5,0.6635827739117421,0.10641730696022547,0.07072013661489084
ridge,1,0.7911652092854038,0.0805815300236252,0.060615521087724236
ridge,2,0.5920931478403166,0.1193276628503052,0.0793581886835344
ridge,3,0.5649577512217601,0.11491256971579833,0.06540277310711702
ridge,4,0.6826353445258282,0.10657067015486893,0.07200776914512023
ridge,5,0.6639297199283591,0.106362418889788,0.07082128350849154
elasticnet,1,-0.020893257169090074,0.1781657626405417,0.14230083348675474
elasticnet,2,-0.00026078614461932936,0.1868603921044764,0.1469427126023252
elasticnet,3,-0.00365332460357104,0.1745394820257982,0.1313025264182194
elasticnet,4,-0.020995130561778375,0.19114821775774876,0.14305967721877152
elasticnet,5,-0.007254340542409032,0.184137704696058,0.1536367087060274
cart,1,0.6419828629956004,0.10550814587773552,0.07449426055555552
cart,2,0.6221762052233943,0.11484320048707349,0.07169994777777773
cart,3,0.30993698706812967,0.14472587836269823,0.09411652007936504
cart,4,0.47701876559624656,0.13680484253985029,0.0902322217460317
cart,5,-0.22458907890660829,0.20303379978057462,0.11498420101351343
gradient_boosting,1,0.7617799611807353,0.08606433730515992,0.0576537827871154
gradient_boosting,2,0.6923081965962422,0.10363789844480792,0.07216724392945412
gradient_boosting,3,0.6594149480371181,0.10167510055981777,0.0571474169829972
gradient_boosting,4,0.7799981222760989,0.08873023085269698,0.059190686393132345
gradient_boosting,5,0.4803577016052315,0.13225905003876756,0.07227375531934024
random_forest,1,0.7603727038104751,0.08631817055157814,0.05852726580436499
random_forest,2,0.6325142920635447,0.11326112235136851,0.07131600227460314
random_forest,3,0.5796598403301643,0.11295416812282288,0.06550886948492057
random_forest,4,0.7446624893141712,0.09559071888374854,0.06346851107738087
random_forest,5,0.6060906911269155,0.11515194386115161,0.07067548476994838
extra_trees,1,0.7896853528400503,0.08086653661670776,0.052999985401984015
extra_trees,2,0.76504420161244,0.09056360834203712,0.055081854556745996
extra_trees,3,0.6051144922246932,0.10948066249601225,0.06174370625992059
extra_trees,4,0.6524058506045083,0.11153075615133551,0.062354846051587164
extra_trees,5,0.6090188881176661,0.11472314395179548,0.06402395766369033
hist_gradient_boosting,1,0.742951430938384,0.08940085634289359,0.06101322684180996
hist_gradient_boosting,2,0.6701076047208598,0.10731162870273582,0.06853765396467248
hist_gradient_boosting,3,0.615420311682896,0.10804259100171817,0.06443760442025903
hist_gradient_boosting,4,0.6727126743173785,0.10822385790746203,0.07102604843888659
hist_gradient_boosting,5,0.6414678500023836,0.10985939531116122,0.06958364331275371
xgboost,1,0.7639562848055435,0.08567030326829983,0.05673714227994486
xgboost,2,0.700738175990375,0.10220833028508124,0.0677257550957044
xgboost,3,0.5963777196405979,0.11068515686352787,0.06476573554756827
xgboost,4,0.7630402586230834,0.09208644370857316,0.06021297635436371
xgboost,5,0.4492387697606468,0.13616165836062274,0.07898790470614733
catboost,1,0.8094709889072333,0.07696878662336,0.05245997416472912
catboost,2,0.7227538135763825,0.09837696604506509,0.06307742734491915
catboost,3,0.6585001948789866,0.10181154996047892,0.05350280228185583
catboost,4,0.730611522688986,0.09818562871656074,0.062080856890889866
catboost,5,0.6786458546036338,0.10400760712980583,0.06171864260327843
lightgbm,1,0.7511351496493959,0.08796620659623063,0.058362632829791726
lightgbm,2,0.6358487216740553,0.11274610662368692,0.07480934544403693
lightgbm,3,0.6186625467659316,0.10758619545289218,0.0628848508254305
lightgbm,4,0.6657667206936927,0.10936623529089454,0.0704394661530004
lightgbm,5,0.6416550794893645,0.10983070666461267,0.06926922698256739
mlp,1,0.8124427334837054,0.07636617367282893,0.05094518229071083
mlp,2,0.6345577732622509,0.11294577726568647,0.06787514412017816
mlp,3,0.5960174323929904,0.11073454654938648,0.05698407317273208
mlp,4,0.6306683254667169,0.11496527836597029,0.06400811657569237
mlp,5,0.6661821746467942,0.10600538149637398,0.06678707928099711
tab_cnn,1,0.7646179092288556,0.08555015319365857,0.06298344360229073
tab_cnn,2,0.5898225480111338,0.11965931867216303,0.08836961241303846
tab_cnn,3,0.5040390567598902,0.12269463067185638,0.08075829461045961
tab_cnn,4,0.64349600994851,0.11295113910672247,0.07217740352113289
tab_cnn,5,0.5981451635839901,0.11630750817073669,0.08591544740901867
ft_transformer,1,0.7507588414726216,0.08803268826028143,0.05811634790690101
ft_transformer,2,0.5118342215255304,0.13054020782697853,0.07670499716280611
ft_transformer,3,0.5346667119217785,0.11884581129703871,0.06784673591875538
ft_transformer,4,0.5426611354360149,0.1279314941776777,0.08333499605808878
ft_transformer,5,0.6921850282041415,0.10179302518368971,0.05849016592606347
saint,1,0.7226903375923976,0.09285741395661017,0.06698385830755861
saint,2,0.5821481557761716,0.12077353993142674,0.0755450089412987
saint,3,0.5691888361702329,0.11435240251541622,0.07126151827046946
saint,4,0.7067667437185484,0.102438928990863,0.06513766791840456
saint,5,0.598245609130512,0.11629297145214579,0.08064194516190229
deep_gbm,1,0.7577361031478178,0.08679174751996646,0.05961404626212776
deep_gbm,2,0.7146989194974238,0.09979581802840053,0.06447475991082444
deep_gbm,3,0.6419743974442516,0.1042458707265235,0.059743860457336845
deep_gbm,4,0.7097345124814312,0.10191922635338556,0.06690572543186749
deep_gbm,5,0.5763177157330999,0.11942446488449113,0.0704682762127479
tabnet,1,0.6964542590232148,0.09715074947764542,0.0681194146799362
tabnet,2,0.5266217380178263,0.12854784179534537,0.07863944181451045
tabnet,3,0.5638913370670229,0.11505332545300322,0.0677015540225429
tabnet,4,0.6391130012651868,0.11364335221431095,0.07705303854791214
tabnet,5,0.6040799470057874,0.11544547128017725,0.0708111027392332
