model,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std
cart,0.365305,0.355687,0.140983,0.038156,0.089105,0.017411
catboost,0.719996,0.058347,0.09587,0.010845,0.058568,0.005137
deep_gbm,0.680092,0.071286,0.102435,0.01166,0.064241,0.004679
elasticnet,-0.010611,0.009751,0.18297,0.006662,0.143448,0.008139
extra_trees,0.684254,0.087436,0.101433,0.01487,0.059241,0.004876
ft_transformer,0.606421,0.107645,0.113429,0.018116,0.068899,0.011125
gradient_boosting,0.674772,0.119356,0.102473,0.018353,0.063687,0.007827
hist_gradient_boosting,0.668532,0.047727,0.104568,0.008529,0.06692,0.004112
lightgbm,0.662614,0.052281,0.105499,0.009975,0.067153,0.006507
linear,0.658212,0.089064,0.105664,0.015133,0.069788,0.007223
mlp,0.667974,0.084499,0.104203,0.015914,0.06132,0.007185
random_forest,0.66466,0.082538,0.104655,0.012957,0.065899,0.005305
ridge,0.658956,0.088559,0.105551,0.015022,0.069641,0.007086
saint,0.635808,0.072993,0.109343,0.01144,0.071914,0.006325
tab_cnn,0.620024,0.095265,0.111433,0.01492,0.078041,0.010454
tabnet,0.606032,0.065871,0.113968,0.011168,0.072465,0.005086
xgboost,0.65467,0.133613,0.105362,0.019691,0.065686,0.008544
