feature,importance_mean,importance_std
Deposition time [min],0.2947542151129735,0.05887703556396755
Additive [mL/L],0.06542933473568416,0.02319058549305645
Current density [A/dm²],0.04229941380463624,0.01437368750093077
Temperature [°C],0.03877550314809584,0.018637547666967444
Complexing agent [mL/L],0.018710579269873275,0.015212361052940337
pH,0.01721520532329248,0.021457913045620062
Copper [mg/L],0.015582854859415707,0.009647212397919634
Chromium [g/L],0.014067738147486342,0.009113795349259919
Bath age [Ah/L],0.012823222733420292,0.01244696472222818
Gloss Nickel layer [%],0.00967238586257877,0.0073362374642662615
Anode Area [dm²],0.006959336325387988,0.0039038882492731766
Buffer [g/L],0.006208391368864907,0.010783355941126112
Service life [days],0.0060988876042380015,0.0067262267166656505
Nickel [mg/L],0.00557020733192175,0.004086725758204223
Sample Area [dm²],0.0033586437784750346,0.006948487676911943
Last reactivation [days],0.00305689117669814,0.01013392447344732
Iron [mg/L],0.002112209976668744,0.0017684242523878016
Volume [L],0.001666666666666683,0.003333333333333311
Brigthener [mL/L],-0.0015043756837005873,0.005924251063787842
Supporting electrolyte [g/L],-0.0035179586325237546,0.00348939433347066
